dataset,threshold,number_of_shapelets,mode of cancellation,inverted,cnn_train_confidence,cnn_test_confidence,ls_train_confidence,ls_test_confidence,rand_train_confidence,rand_test_confidence,avg_total_area_size_cnn,avg_total_area_size_ls,avg_total_area_size_rand
Coffee,,,-,-,0.9998289409077386,0.9936974805595743,0.9998289409077386,0.9936974805595743,0.9998289409077386,0.9936974805595743,,,
Coffee,0.9,1.0,zero,False,0.5457459514966193,0.4611545410044192,0.9997023441061911,0.9249816950724495,0.9285398271285147,,12.839285714285714,12.0,12.0
Coffee,0.9,1.0,linear,False,0.9990198748861001,0.9637681848946978,0.9998338831436829,0.9867497158847937,0.9704232808778641,,12.839285714285714,12.0,12.0
Coffee,0.9,1.0,mean,False,0.9995088769773453,0.9611240456797441,0.999816405443776,0.9882592776662902,0.9995366687996692,,12.839285714285714,12.0,12.0
Coffee,0.9,1.0,zero,True,0.9184682725193299,0.941552652501595,0.5076188402516502,0.41636938828721426,0.3479265393566574,,12.839285714285714,12.0,12.0
Coffee,0.9,1.0,linear,True,0.5000005960464478,0.5357152223587036,0.47793189449501894,0.4666467893935484,0.5277329154310532,,12.839285714285714,12.0,12.0
Coffee,0.9,1.0,mean,True,0.7651214376091957,0.8037502282698239,0.5033475416047233,0.5775671090398515,0.6056291357214962,,12.839285714285714,12.0,12.0
Coffee,0.9,2.0,zero,False,0.5457459514966193,0.4611545410044192,0.9742611003906572,0.8716045379882243,0.9608702697497128,,12.839285714285714,12.0,12.0
Coffee,0.9,2.0,linear,False,0.9990198748861001,0.9637681848946978,0.9998385016550538,0.9938401399701808,0.999791156243012,,12.839285714285714,12.0,12.0
Coffee,0.9,2.0,mean,False,0.9995088769773453,0.9611240456797441,0.9997943742791209,0.9937793989728098,0.9996855222534998,,12.839285714285714,12.0,12.0
Coffee,0.9,2.0,zero,True,0.9184682725193299,0.941552652501595,0.49564963792051586,0.5341768269926044,0.5006547413234199,,12.839285714285714,12.0,12.0
Coffee,0.9,2.0,linear,True,0.5000005960464478,0.5357152223587036,0.4897353454892125,0.621460991645498,0.45119691257631145,,12.839285714285714,12.0,12.0
Coffee,0.9,2.0,mean,True,0.7651214376091957,0.8037502282698239,0.5123884166990007,0.5582939351775816,0.5914373948637928,,12.839285714285714,12.0,12.0
Coffee,0.9,3.0,zero,False,0.5457459514966193,0.4611545410044192,0.7986104179299954,0.8882788496380325,0.918029315372855,,12.839285714285714,12.0,12.0
Coffee,0.9,3.0,linear,False,0.9990198748861001,0.9637681848946978,0.9998371787645158,0.9928616719214863,0.9998355663311916,,12.839285714285714,12.0,12.0
Coffee,0.9,3.0,mean,False,0.9995088769773453,0.9611240456797441,0.9996082366907297,0.9908153303978487,0.999229894193589,,12.839285714285714,12.0,12.0
Coffee,0.9,3.0,zero,True,0.9184682725193299,0.941552652501595,0.5002660410744804,0.4708077189113412,0.5064676127263478,,12.839285714285714,12.0,12.0
Coffee,0.9,3.0,linear,True,0.5000005960464478,0.5357152223587036,0.507583845938955,0.5785756762770242,0.581216903901163,,12.839285714285714,12.0,12.0
Coffee,0.9,3.0,mean,True,0.7651214376091957,0.8037502282698239,0.49984438504491535,0.5715653257710593,0.6088299485189574,,12.839285714285714,12.0,12.0
Coffee,0.9,4.0,zero,False,0.5457459514966193,0.4611545410044192,0.9297860213107014,0.9109412955487933,0.816643891450628,,12.839285714285714,12.0,12.0
Coffee,0.9,4.0,linear,False,0.9990198748861001,0.9637681848946978,0.999826605435345,0.9922240429515876,0.9998012526669684,,12.839285714285714,12.0,12.0
Coffee,0.9,4.0,mean,False,0.9995088769773453,0.9611240456797441,0.9997407468202101,0.9975227610473777,0.9996034463328072,,12.839285714285714,12.0,12.0
Coffee,0.9,4.0,zero,True,0.9184682725193299,0.941552652501595,0.4983278555529458,0.5260543610368456,0.5079565686838967,,12.839285714285714,12.0,12.0
Coffee,0.9,4.0,linear,True,0.5000005960464478,0.5357152223587036,0.4785144031047821,0.34564251473047336,0.45957798000284,,12.839285714285714,12.0,12.0
Coffee,0.9,4.0,mean,True,0.7651214376091957,0.8037502282698239,0.57209177421672,0.5655938530606883,0.6141186255429472,,12.839285714285714,12.0,12.0
Coffee,0.9,5.0,zero,False,0.5457459514966193,0.4611545410044192,0.8469045186277324,0.9099299906175528,0.9997064352947149,,12.839285714285714,10.0,10.0
Coffee,0.9,5.0,linear,False,0.9990198748861001,0.9637681848946978,0.999826813539199,0.9939565803540428,0.9998255529688735,,12.839285714285714,10.0,10.0
Coffee,0.9,5.0,mean,False,0.9995088769773453,0.9611240456797441,0.9997887355932915,0.9931102899111297,0.9997917165764763,,12.839285714285714,10.0,10.0
Coffee,0.9,5.0,zero,True,0.9184682725193299,0.941552652501595,0.5,0.5135870001145771,0.499628694994109,,12.839285714285714,10.0,10.0
Coffee,0.9,5.0,linear,True,0.5000005960464478,0.5357152223587036,0.49981116609913967,0.38421128318321096,0.4482134297946426,,12.839285714285714,10.0,10.0
Coffee,0.9,5.0,mean,True,0.7651214376091957,0.8037502282698239,0.5,0.5838733879583222,0.5585974465523447,,12.839285714285714,10.0,10.0
Coffee,0.7,1.0,zero,False,0.49848995889936176,0.5334950600351607,0.9952535172253266,0.634810828087476,0.7651840930469478,,29.125,29.0,29.0
Coffee,0.7,1.0,linear,False,0.7930465344397817,0.6789608806700147,0.9986169457773809,0.9105570828066009,0.9629043592521059,,29.125,29.0,29.0
Coffee,0.7,1.0,mean,False,0.9833802975275522,0.9099485804282332,0.9997345458237945,0.9650220063883889,0.9997209507535538,,29.125,29.0,29.0
Coffee,0.7,1.0,zero,True,0.8821042742575674,0.8158389781384232,0.4650239096954465,0.5159895282208253,0.6665042066974659,,29.125,29.0,29.0
Coffee,0.7,1.0,linear,True,0.5011588271175111,0.5363307978425707,0.4289461885512408,0.49438694849502973,0.6087119451535727,,29.125,29.0,29.0
Coffee,0.7,1.0,mean,True,0.9111759451313576,0.9372373200936376,0.5541209844606263,0.6943992131481147,0.632798114409005,,29.125,29.0,29.0
Coffee,0.7,2.0,zero,False,0.49848995889936176,0.5334950600351607,0.9964458795003754,0.7570062813750884,0.838934162649287,,29.125,28.0,28.0
Coffee,0.7,2.0,linear,False,0.7930465344397817,0.6789608806700147,0.9998427216390606,0.9637744472368633,0.9936844831596855,,29.125,28.0,28.0
Coffee,0.7,2.0,mean,False,0.9833802975275522,0.9099485804282332,0.999718537745409,0.9828312215647352,0.9980819989070184,,29.125,28.0,28.0
Coffee,0.7,2.0,zero,True,0.8821042742575674,0.8158389781384232,0.3255435205397329,0.453477799265287,0.4191725679684287,,29.125,28.0,28.0
Coffee,0.7,2.0,linear,True,0.5011588271175111,0.5363307978425707,0.44547649173416304,0.4951119844776356,0.5606647043025861,,29.125,28.0,28.0
Coffee,0.7,2.0,mean,True,0.9111759451313576,0.9372373200936376,0.6580076451812471,0.7116951662880768,0.7507401253096759,,29.125,28.0,28.0
Coffee,0.7,3.0,zero,False,0.49848995889936176,0.5334950600351607,0.7170321133974018,0.6531823012802093,0.7572896738279459,,29.125,27.0,27.0
Coffee,0.7,3.0,linear,False,0.7930465344397817,0.6789608806700147,0.9997335003070911,0.9807976187814208,0.9996536321924054,,29.125,27.0,27.0
Coffee,0.7,3.0,mean,False,0.9833802975275522,0.9099485804282332,0.9995897523640844,0.9917477927488879,0.9996492130167179,,29.125,27.0,27.0
Coffee,0.7,3.0,zero,True,0.8821042742575674,0.8158389781384232,0.5,0.5584688481056739,0.5909728037063644,,29.125,27.0,27.0
Coffee,0.7,3.0,linear,True,0.5011588271175111,0.5363307978425707,0.49990755745342796,0.5728950237606245,0.6896526008576807,,29.125,27.0,27.0
Coffee,0.7,3.0,mean,True,0.9111759451313576,0.9372373200936376,0.5,0.6735138363604034,0.6701329494493881,,29.125,27.0,27.0
Coffee,0.7,4.0,zero,False,0.49848995889936176,0.5334950600351607,0.4778329707508365,0.7305004108011078,0.7923091509068652,,29.125,28.0,28.0
Coffee,0.7,4.0,linear,False,0.7930465344397817,0.6789608806700147,0.9997891695485858,0.9903566693460745,0.9997144867236425,,29.125,28.0,28.0
Coffee,0.7,4.0,mean,False,0.9833802975275522,0.9099485804282332,0.9993568998180857,0.9920465296322918,0.9995262394206712,,29.125,28.0,28.0
Coffee,0.7,4.0,zero,True,0.8821042742575674,0.8158389781384232,0.47581465542316437,0.40555392448524274,0.4507748030467026,,29.125,28.0,28.0
Coffee,0.7,4.0,linear,True,0.5011588271175111,0.5363307978425707,0.4929709022066423,0.5358026740862891,0.4981987986801494,,29.125,28.0,28.0
Coffee,0.7,4.0,mean,True,0.9111759451313576,0.9372373200936376,0.5117374658584595,0.6971010281039136,0.744821242056787,,29.125,28.0,28.0
Coffee,0.7,5.0,zero,False,0.49848995889936176,0.5334950600351607,0.7847213051409785,0.8031760335047262,0.7449982708512899,,29.125,25.0,25.0
Coffee,0.7,5.0,linear,False,0.7930465344397817,0.6789608806700147,0.9987504457835933,0.9919501529360298,0.9998159318683832,,29.125,25.0,25.0
Coffee,0.7,5.0,mean,False,0.9833802975275522,0.9099485804282332,0.9993599548531039,0.9931330628921212,0.999429642029844,,29.125,25.0,25.0
Coffee,0.7,5.0,zero,True,0.8821042742575674,0.8158389781384232,0.5500024203211069,0.5358844787697308,0.5636568491016598,,29.125,25.0,25.0
Coffee,0.7,5.0,linear,True,0.5011588271175111,0.5363307978425707,0.6370397254594147,0.4262807417022846,0.629127479435817,,29.125,25.0,25.0
Coffee,0.7,5.0,mean,True,0.9111759451313576,0.9372373200936376,0.5699911516691958,0.6558835266956261,0.6763581937578107,,29.125,25.0,25.0
Coffee,0.5,1.0,zero,False,0.12359091496727259,0.24759827225989284,0.7142816574428623,0.48410445109581357,0.6304352291707029,,59.94642857142857,59.0,59.0
Coffee,0.5,1.0,linear,False,0.5000409377472741,0.5347747738872255,0.7792085874827923,0.7233796075089479,0.6797830810283481,,59.94642857142857,59.0,59.0
Coffee,0.5,1.0,mean,False,0.9031530314736561,0.7940566929485482,0.9992041712387569,0.9560803024464235,0.9866559165359275,,59.94642857142857,59.0,59.0
Coffee,0.5,1.0,zero,True,0.9557792785314734,0.9658130880072541,0.29320528560197257,0.6763248628108993,0.5033867004466885,,59.94642857142857,59.0,59.0
Coffee,0.5,1.0,linear,True,0.6894558859294193,0.7075413300647466,0.6745004966152399,0.6173111024004801,0.5693970856805143,,59.94642857142857,59.0,59.0
Coffee,0.5,1.0,mean,True,0.9962939925670266,0.978056852347046,0.8384773089284343,0.804219588322407,0.861704473674763,,59.94642857142857,59.0,59.0
Coffee,0.5,2.0,zero,False,0.12359091496727259,0.24759827225989284,0.7500005646398846,0.784025399496058,0.737922527301578,,59.94642857142857,58.0,58.0
Coffee,0.5,2.0,linear,False,0.5000409377472741,0.5347747738872255,0.7503357888159572,0.7982441456823594,0.8995744980559304,,59.94642857142857,58.0,58.0
Coffee,0.5,2.0,mean,False,0.9031530314736561,0.7940566929485482,0.999381214407166,0.9933646131536646,0.9992419263229644,,59.94642857142857,58.0,58.0
Coffee,0.5,2.0,zero,True,0.9557792785314734,0.9658130880072541,0.5,0.4052779574599068,0.5867366379236623,,59.94642857142857,58.0,58.0
Coffee,0.5,2.0,linear,True,0.6894558859294193,0.7075413300647466,0.49885552482945583,0.42905418064673106,0.5042165936251917,,59.94642857142857,58.0,58.0
Coffee,0.5,2.0,mean,True,0.9962939925670266,0.978056852347046,0.5,0.6850132519778396,0.7223993321198837,,59.94642857142857,58.0,58.0
Coffee,0.5,3.0,zero,False,0.12359091496727259,0.24759827225989284,0.8247854647284555,0.4365067725691558,0.7547223513328392,,59.94642857142857,57.0,57.0
Coffee,0.5,3.0,linear,False,0.5000409377472741,0.5347747738872255,0.9730684489036016,0.8493981747362539,0.9358187864410409,,59.94642857142857,57.0,57.0
Coffee,0.5,3.0,mean,False,0.9031530314736561,0.7940566929485482,0.9995037876305227,0.9862744530205418,0.9770759487879965,,59.94642857142857,57.0,57.0
Coffee,0.5,3.0,zero,True,0.9557792785314734,0.9658130880072541,0.5,0.6739778575519089,0.3671412692250823,,59.94642857142857,57.0,57.0
Coffee,0.5,3.0,linear,True,0.6894558859294193,0.7075413300647466,0.4905472717114857,0.6237335627569085,0.5902481082856315,,59.94642857142857,57.0,57.0
Coffee,0.5,3.0,mean,True,0.9962939925670266,0.978056852347046,0.5,0.7984977040905505,0.8087281766513894,,59.94642857142857,57.0,57.0
Coffee,0.5,4.0,zero,False,0.12359091496727259,0.24759827225989284,0.5505682746899676,0.6795296864191309,0.6884890526617347,,59.94642857142857,56.0,56.0
Coffee,0.5,4.0,linear,False,0.5000409377472741,0.5347747738872255,0.9995122352547635,0.9922024918433199,0.9391464504861957,,59.94642857142857,56.0,56.0
Coffee,0.5,4.0,mean,False,0.9031530314736561,0.7940566929485482,0.9992121962418585,0.9724720310644338,0.9932822350223469,,59.94642857142857,56.0,56.0
Coffee,0.5,4.0,zero,True,0.9557792785314734,0.9658130880072541,0.5,0.6113197002711801,0.5189347381978902,,59.94642857142857,56.0,56.0
Coffee,0.5,4.0,linear,True,0.6894558859294193,0.7075413300647466,0.49978458455630714,0.6414151922881989,0.46895365997203975,,59.94642857142857,56.0,56.0
Coffee,0.5,4.0,mean,True,0.9962939925670266,0.978056852347046,0.5,0.7659127473764653,0.8245321705887494,,59.94642857142857,56.0,56.0
Coffee,0.5,5.0,zero,False,0.12359091496727259,0.24759827225989284,0.910444273310687,0.6688522169512355,0.6038288531501805,,59.94642857142857,55.0,55.0
Coffee,0.5,5.0,linear,False,0.5000409377472741,0.5347747738872255,0.9972555883791655,0.9292831871065641,0.9638474488859395,,59.94642857142857,55.0,55.0
Coffee,0.5,5.0,mean,False,0.9031530314736561,0.7940566929485482,0.9989936866389562,0.9599412146502492,0.9990918010325979,,59.94642857142857,55.0,55.0
Coffee,0.5,5.0,zero,True,0.9557792785314734,0.9658130880072541,0.5,0.5455287910126281,0.597132430692633,,59.94642857142857,55.0,55.0
Coffee,0.5,5.0,linear,True,0.6894558859294193,0.7075413300647466,0.4896826105458396,0.5301832617362171,0.6791996368613451,,59.94642857142857,55.0,55.0
Coffee,0.5,5.0,mean,True,0.9962939925670266,0.978056852347046,0.5,0.7739756602926978,0.8171229588499824,,59.94642857142857,55.0,55.0
Coffee,0.3,1.0,zero,False,0.42851701883929694,0.5136607853429658,0.5064515348578343,0.5635238778795406,0.5313864899321378,,122.83928571428571,122.0,122.0
Coffee,0.3,1.0,linear,False,0.4997103405850274,0.5352859858955656,0.571432724129796,0.6968238371716304,0.6985140544296219,,122.83928571428571,122.0,122.0
Coffee,0.3,1.0,mean,False,0.6455547657928297,0.6454064563981124,0.9681030093176689,0.8522266408378658,0.945671815703333,,122.83928571428571,122.0,122.0
Coffee,0.3,1.0,zero,True,0.9996915815258641,0.9632257225500438,0.5001896853957857,0.644578233175421,0.5588190382087892,,122.83928571428571,122.0,122.0
Coffee,0.3,1.0,linear,True,0.9595686150735544,0.8896378850545261,0.500207183616502,0.6407864780263464,0.6834599433689816,,122.83928571428571,122.0,122.0
Coffee,0.3,1.0,mean,True,0.999588596238855,0.9943767426286557,0.9770026838714979,0.9511442680994021,0.9331758806461689,,122.83928571428571,122.0,122.0
Coffee,0.3,2.0,zero,False,0.42851701883929694,0.5136607853429658,0.5001535947833742,0.4320690529524399,0.5780693863174211,,122.83928571428571,122.0,122.0
Coffee,0.3,2.0,linear,False,0.4997103405850274,0.5352859858955656,0.5113866201468876,0.5755682196534739,0.725774414133814,,122.83928571428571,122.0,122.0
Coffee,0.3,2.0,mean,False,0.6455547657928297,0.6454064563981124,0.9545557191200454,0.8684231943095386,0.920373734677891,,122.83928571428571,122.0,122.0
Coffee,0.3,2.0,zero,True,0.9996915815258641,0.9632257225500438,0.5000062081242463,0.6132910739801163,0.541366506193679,,122.83928571428571,122.0,122.0
Coffee,0.3,2.0,linear,True,0.9595686150735544,0.8896378850545261,0.5354080270079586,0.6028664755713451,0.6700531544570988,,122.83928571428571,122.0,122.0
Coffee,0.3,2.0,mean,True,0.999588596238855,0.9943767426286557,0.9814896077051084,0.9668525507305341,0.9859733668635451,,122.83928571428571,122.0,122.0
Coffee,0.3,3.0,zero,False,0.42851701883929694,0.5136607853429658,0.9028941842316393,0.5518195938046531,0.5612002481133069,,122.83928571428571,120.0,120.0
Coffee,0.3,3.0,linear,False,0.4997103405850274,0.5352859858955656,0.9995364790582201,0.6362609748630018,0.647802070801661,,122.83928571428571,120.0,120.0
Coffee,0.3,3.0,mean,False,0.6455547657928297,0.6454064563981124,0.9995157664802079,0.9000632125659779,0.9551787408067339,,122.83928571428571,120.0,120.0
Coffee,0.3,3.0,zero,True,0.9996915815258641,0.9632257225500438,0.48354803877217434,0.5685698660141463,0.614582593504638,,122.83928571428571,120.0,120.0
Coffee,0.3,3.0,linear,True,0.9595686150735544,0.8896378850545261,0.48633431536810734,0.7869491962580022,0.6780040514588372,,122.83928571428571,120.0,120.0
Coffee,0.3,3.0,mean,True,0.999588596238855,0.9943767426286557,0.6456146369289075,0.9517081787011453,0.9459944479106396,,122.83928571428571,120.0,120.0
Coffee,0.3,4.0,zero,False,0.42851701883929694,0.5136607853429658,0.623160674234597,0.45710894724686835,0.5359007267409501,,122.83928571428571,120.0,120.0
Coffee,0.3,4.0,linear,False,0.4997103405850274,0.5352859858955656,0.6830259312196625,0.6990560804384123,0.7482744024399685,,122.83928571428571,120.0,120.0
Coffee,0.3,4.0,mean,False,0.6455547657928297,0.6454064563981124,0.9805228012184993,0.9182638237658206,0.9748791843729643,,122.83928571428571,120.0,120.0
Coffee,0.3,4.0,zero,True,0.9996915815258641,0.9632257225500438,0.5,0.6242568308807241,0.5715661762447217,,122.83928571428571,120.0,120.0
Coffee,0.3,4.0,linear,True,0.9595686150735544,0.8896378850545261,0.541339459163802,0.631793062964435,0.6401989652099296,,122.83928571428571,120.0,120.0
Coffee,0.3,4.0,mean,True,0.999588596238855,0.9943767426286557,0.5,0.9047906423776502,0.9460269271826088,,122.83928571428571,120.0,120.0
Coffee,0.3,5.0,zero,False,0.42851701883929694,0.5136607853429658,0.500308522493385,0.5959791354480519,0.7295905167466886,,122.83928571428571,120.0,120.0
Coffee,0.3,5.0,linear,False,0.4997103405850274,0.5352859858955656,0.7800926906826654,0.8066045759993747,0.8543800623986288,,122.83928571428571,120.0,120.0
Coffee,0.3,5.0,mean,False,0.6455547657928297,0.6454064563981124,0.99142818126612,0.8967181371946416,0.970625673072813,,122.83928571428571,120.0,120.0
Coffee,0.3,5.0,zero,True,0.9996915815258641,0.9632257225500438,0.501236943261964,0.5367555359418963,0.5471292902736062,,122.83928571428571,120.0,120.0
Coffee,0.3,5.0,linear,True,0.9595686150735544,0.8896378850545261,0.5003558099269867,0.7611387564338655,0.6978569406410823,,122.83928571428571,120.0,120.0
Coffee,0.3,5.0,mean,True,0.999588596238855,0.9943767426286557,0.7609171709045768,0.9058971198877706,0.9371620785883741,,122.83928571428571,120.0,120.0
Coffee,0.1,1.0,zero,False,0.5010795401675361,0.5140829746212279,0.5000676838866989,0.44164622128757913,0.6321531994643159,,166.19642857142858,166.0,166.0
Coffee,0.1,1.0,linear,False,0.5105884500912258,0.5270713333572661,0.6424814685824635,0.7269176737349445,0.5613481072418207,,166.19642857142858,166.0,166.0
Coffee,0.1,1.0,mean,False,0.5263084503156799,0.5298543104103633,0.9706539089737427,0.8675968750737542,0.8652763521531597,,166.19642857142858,166.0,166.0
Coffee,0.1,1.0,zero,True,0.9997325062492382,0.9882751292735463,0.5002713395016534,0.6586835252021191,0.5721402287518292,,166.19642857142858,166.0,166.0
Coffee,0.1,1.0,linear,True,0.9998175566876757,0.9940817425428067,0.5000141731330326,0.7229578278464192,0.6505632866156814,,166.19642857142858,166.0,166.0
Coffee,0.1,1.0,mean,True,0.9998002177729451,0.9948515629951851,0.9839155938077998,0.9222839003259234,0.9963491335986093,,166.19642857142858,166.0,166.0
Coffee,0.1,2.0,zero,False,0.5010795401675361,0.5140829746212279,0.5006500078099114,0.5682852110954357,0.4423955242466807,,166.19642857142858,166.0,166.0
Coffee,0.1,2.0,linear,False,0.5105884500912258,0.5270713333572661,0.622997332896505,0.6709085559906196,0.497822778565543,,166.19642857142858,166.0,166.0
Coffee,0.1,2.0,mean,False,0.5263084503156799,0.5298543104103633,0.7064105080374117,0.8562120041710192,0.9143895158262499,,166.19642857142858,166.0,166.0
Coffee,0.1,2.0,zero,True,0.9997325062492382,0.9882751292735463,0.720408095682609,0.534543096454428,0.6679226988519871,,166.19642857142858,166.0,166.0
Coffee,0.1,2.0,linear,True,0.9998175566876757,0.9940817425428067,0.9970015248175496,0.7969345640442979,0.6886130362574313,,166.19642857142858,166.0,166.0
Coffee,0.1,2.0,mean,True,0.9998002177729451,0.9948515629951851,0.9995931707783393,0.9553778480997153,0.9845673064619324,,166.19642857142858,166.0,166.0
Coffee,0.1,3.0,zero,False,0.5010795401675361,0.5140829746212279,0.500000536441803,0.4819323769908104,0.64500265637948,,166.19642857142858,165.0,165.0
Coffee,0.1,3.0,linear,False,0.5105884500912258,0.5270713333572661,0.5850335673562118,0.6966067903012453,0.6969639504923653,,166.19642857142858,165.0,165.0
Coffee,0.1,3.0,mean,False,0.5263084503156799,0.5298543104103633,0.9860037407233904,0.881143233680632,0.850766834328949,,166.19642857142858,165.0,165.0
Coffee,0.1,3.0,zero,True,0.9997325062492382,0.9882751292735463,0.4604063034057617,0.6764182876758729,0.6454458027811593,,166.19642857142858,165.0,165.0
Coffee,0.1,3.0,linear,True,0.9998175566876757,0.9940817425428067,0.6520921121846186,0.7190379377907615,0.8197235168210844,,166.19642857142858,165.0,165.0
Coffee,0.1,3.0,mean,True,0.9998002177729451,0.9948515629951851,0.5384668047939027,0.9528715974400777,0.9957583499383281,,166.19642857142858,165.0,165.0
Coffee,0.1,4.0,zero,False,0.5010795401675361,0.5140829746212279,0.6371829731090918,0.5685496252983875,0.5390297410940874,,166.19642857142858,164.0,164.0
Coffee,0.1,4.0,linear,False,0.5105884500912258,0.5270713333572661,0.6960121899705164,0.5717235468723291,0.5564753287823792,,166.19642857142858,164.0,164.0
Coffee,0.1,4.0,mean,False,0.5263084503156799,0.5298543104103633,0.9680690796180572,0.9420364115919385,0.8933905167841983,,166.19642857142858,164.0,164.0
Coffee,0.1,4.0,zero,True,0.9997325062492382,0.9882751292735463,0.5,0.6213044709152575,0.6073270755643381,,166.19642857142858,164.0,164.0
Coffee,0.1,4.0,linear,True,0.9998175566876757,0.9940817425428067,0.4936002492904663,0.7660677303109333,0.7732501876970905,,166.19642857142858,164.0,164.0
Coffee,0.1,4.0,mean,True,0.9998002177729451,0.9948515629951851,0.5,0.9039115180273143,0.9786363229463859,,166.19642857142858,164.0,164.0
Coffee,0.1,5.0,zero,False,0.5010795401675361,0.5140829746212279,0.5000000000919012,0.5085201402868227,0.4914135225467825,,166.19642857142858,165.0,165.0
Coffee,0.1,5.0,linear,False,0.5105884500912258,0.5270713333572661,0.8115717032212654,0.6100832539334364,0.678399710902045,,166.19642857142858,165.0,165.0
Coffee,0.1,5.0,mean,False,0.5263084503156799,0.5298543104103633,0.9877897141693336,0.8818653680209536,0.9172385139924241,,166.19642857142858,165.0,165.0
Coffee,0.1,5.0,zero,True,0.9997325062492382,0.9882751292735463,0.5000504723617009,0.614090994529249,0.6440144680443673,,166.19642857142858,165.0,165.0
Coffee,0.1,5.0,linear,True,0.9998175566876757,0.9940817425428067,0.5000020861625671,0.8050214736611608,0.7151932134575671,,166.19642857142858,165.0,165.0
Coffee,0.1,5.0,mean,True,0.9998002177729451,0.9948515629951851,0.8483578927948007,0.9336549895602388,0.989230118506904,,166.19642857142858,165.0,165.0
GunPoint,,,-,-,0.9998221557793916,0.9559526902689253,0.9998221557793916,0.9559526902689253,0.9998221557793916,0.9559526902689253,,,
GunPoint,0.9,1.0,zero,False,0.610647292141584,0.639201158298266,0.5200230633398448,0.5468185573615714,0.5345463015708203,,34.445,34.0,34.0
GunPoint,0.9,1.0,linear,False,0.9997632753097924,0.9591107600019497,0.9594011817195186,0.8833706566128295,0.8718869377350806,,34.445,34.0,34.0
GunPoint,0.9,1.0,mean,False,0.9996166517428544,0.9567504573440284,0.9775235859032104,0.8820879780697265,0.9118364178377615,,34.445,34.0,34.0
GunPoint,0.9,1.0,zero,True,0.49999998569488524,0.48666670331117257,0.5208686347594889,0.4932931437341693,0.5193248484632493,,34.445,34.0,34.0
GunPoint,0.9,1.0,linear,True,0.7776779354168537,0.6988661402182388,0.5554700274975107,0.6077088373369453,0.6529251199882664,,34.445,34.0,34.0
GunPoint,0.9,1.0,mean,True,0.5202601604163647,0.5344834177421096,0.5058752131462096,0.580745945243005,0.5733544416469523,,34.445,34.0,34.0
GunPoint,0.9,2.0,zero,False,0.610647292141584,0.639201158298266,0.7188413376030198,0.5409107768993906,0.576993183224153,,34.445,34.0,34.0
GunPoint,0.9,2.0,linear,False,0.9997632753097924,0.9591107600019497,0.9997017935578045,0.9333986314877029,0.9980866599899036,,34.445,34.0,34.0
GunPoint,0.9,2.0,mean,False,0.9996166517428544,0.9567504573440284,0.9404199578760883,0.867581372873307,0.9083284269813107,,34.445,34.0,34.0
GunPoint,0.9,2.0,zero,True,0.49999998569488524,0.48666670331117257,0.52,0.49978736512979005,0.5200004825761249,,34.445,34.0,34.0
GunPoint,0.9,2.0,linear,True,0.7776779354168537,0.6988661402182388,0.7960865061603577,0.6687250176273845,0.75980813298134,,34.445,34.0,34.0
GunPoint,0.9,2.0,mean,True,0.5202601604163647,0.5344834177421096,0.5643955817446112,0.5779753972607314,0.5463289830181748,,34.445,34.0,34.0
GunPoint,0.9,3.0,zero,False,0.610647292141584,0.639201158298266,0.5383851761901686,0.5933036862780612,0.5344183079061833,,34.445,33.0,33.0
